chrom	bp	SNPID	avg_rank	med_rank	p20_rank	std_rank	var_rank	mad_rank	avg_rank_rel	med_rank_rel	p20_rank_rel	var_rank_rel	var_rank_weight	var_weighted_avg_rank	var_weighted_rel_avg_rank
scaffold_0	80430	813	2924.45	2485.0	1036.4	2353.19942791	5537547.5475	1320.5	0.248129136263	0.210843373494	0.0879348379433	0.295128903603	0.704871096397	2061.36027786	0.174899056326
scaffold_0	80558	812	2629.5	1678.0	570.6	2950.44505965	8705126.05	1172.5	0.223103682335	0.142372306126	0.048413371797	0.463948035628	0.536051964372	1409.54864032	0.119595167174
scaffold_0	168243	316	6190.6	6280.0	4327.4	1913.66764094	3662123.84	1155.0	0.525250296962	0.532835567623	0.367164432377	0.195176399748	0.804823600252	4982.34097972	0.422733835035
scaffold_0	207363	450	7709.15	7302.5	6717.2	1463.33114075	2141338.0275	616.5	0.654093840149	0.619591040217	0.569930425929	0.114124662385	0.885875337615	6829.34585897	0.579445601474
scaffold_0	225759	467	3967.55	3513.5	2456.6	2175.26907474	4731795.5475	1138.5	0.336632445274	0.298107924656	0.20843373494	0.252185578549	0.747814421451	2966.99110783	0.251738597304
scaffold_0	341017	511	7914.4	7963.0	6216.4	1905.01095535	3629066.74	1620.5	0.671508569489	0.675632105888	0.527439334804	0.193414589923	0.806585410077	6383.63956951	0.541629014892
scaffold_0	502808	612	8853.65	9386.0	8530.6	1536.10508348	2359618.8275	513.0	0.751200576956	0.796368572883	0.723790938401	0.125758146816	0.874241853184	7740.23138344	0.65673098451
scaffold_0	633622	687	8664.85	8826.0	7063.2	1822.90272025	3322974.3275	1548.5	0.735181571356	0.748854573222	0.599287290005	0.177101101447	0.822898898553	7130.29552113	0.604980105305
scaffold_0	697373	745	8586.35	8523.0	7523.6	1321.17569895	1745505.2275	765.0	0.728521126761	0.723146105549	0.63835058544	0.0930283739519	0.906971626048	7787.57582132	0.660747990948
scaffold_0	821164	820	3665.1	2965.5	1641.6	2789.00924882	7778572.59	1095.5	0.310970643136	0.251612082131	0.139283896148	0.41456648099	0.58543351901	2145.67239052	0.18205263792
scaffold_0	875953	857	9894.25	10321.5	9014.6	1456.77485821	2122192.9875	796.5	0.839491769896	0.875742406245	0.764856609537	0.11310430913	0.88689569087	8775.16768939	0.744541633242
scaffold_0	918804	876	4591.8	3642.0	3004.6	2481.24113298	6156557.56	1116.0	0.389597827931	0.30901069065	0.254929577465	0.328119635464	0.671880364536	3085.14025788	0.261763130653
scaffold_0	937818	886	1632.9	1444.0	858.6	1062.85831135	1129667.79	517.5	0.138545732225	0.122518241982	0.0728491430511	0.0602067275158	0.939793272484	1534.58843464	0.130204347076
scaffold_0	948672	893	7070.35	6080.0	5070.0	2393.33619191	5728058.1275	1059.0	0.599893941965	0.51586628203	0.430171389784	0.305282347545	0.694717652455	4911.89695404	0.416756911084
scaffold_0	959703	898	8479.45	8258.0	7262.2	1496.46000531	2239392.5475	1000.0	0.719451043611	0.700661802138	0.61617172917	0.119350572002	0.880649427998	7467.42279224	0.633584150029
scaffold_0	959745	897	3962.6	3110.5	2240.6	2507.03371338	6285218.04	873.5	0.336212455456	0.263914814186	0.190106906499	0.334976719051	0.665023280949	2635.22125309	0.223589110223
scaffold_0	973149	907	6116.25	4710.0	2634.0	3557.15079628	12653321.7875	2249.0	0.518941965043	0.399626675717	0.223485491261	0.674370911319	0.325629088681	1991.62891365	0.168982599155
scaffold_0	973178	906	8407.3	7870.5	6614.2	1911.58094519	3654141.71	1821.0	0.713329373833	0.667783811302	0.561191243849	0.19475098448	0.80524901552	6769.97004818	0.574407776021
